area,gcse_score
Barking and Dagenham,49.7
Barnet,60.1
Bexley,53.5
Brent,53.1
Bromley,54.5
Camden,52.2
Croydon,48.9
Ealing,53.5
Enfield,49.8
Greenwich,50.2
Hackney,53.2
Hammersmith and Fulham,56.1
Haringey,51.4
Harrow,53.4
Havering,51.9
Hillingdon,52.1
Hounslow,52.6
Islington,49.7
Kensington and Chelsea,58.0
Kingston upon Thames,58.9
Lambeth,49.3
Lewisham,48.4
Merton,53.1
Newham,53.1
Redbridge,56.0
Richmond upon Thames,57.5
Southwark,53.7
Sutton,61.3
Tower Hamlets,50.1
Waltham Forest,50.0
Wandsworth,52.7
Westminster,57.1
